gene	target_chembl_id	target_pref_name	uniprot	molecule_chembl_id	pchembl_value	n_measurements	retrieved
HDAC1	CHEMBL325	Histone deacetylase 1	Q13547	CHEMBL387447	8.22	1	2026-08-04
HDAC1	CHEMBL325	Histone deacetylase 1	Q13547	CHEMBL385934	7.77	1	2026-08-04
HDAC1	CHEMBL325	Histone deacetylase 1	Q13547	CHEMBL441699	8.1	1	2026-08-04
HDAC1	CHEMBL325	Histone deacetylase 1	Q13547	CHEMBL436964	8.05	1	2026-08-04
HDAC1	CHEMBL325	Histone deacetylase 1	Q13547	CHEMBL216896	7.85	1	2026-08-04
HDAC1	CHEMBL325	Histone deacetylase 1	Q13547	CHEMBL385562	8.1	1	2026-08-04
HDAC1	CHEMBL325	Histone deacetylase 1	Q13547	CHEMBL217246	8.4	1	2026-08-04
HDAC1	CHEMBL325	Histone deacetylase 1	Q13547	CHEMBL384733	7.89	1	2026-08-04
HDAC1	CHEMBL325	Histone deacetylase 1	Q13547	CHEMBL217615	8.05	1	2026-08-04
HDAC1	CHEMBL325	Histone deacetylase 1	Q13547	CHEMBL419758	7.32	3	2026-08-04
HDAC1	CHEMBL325	Histone deacetylase 1	Q13547	CHEMBL388195	7.24	1	2026-08-04
HDAC1	CHEMBL325	Histone deacetylase 1	Q13547	CHEMBL227722	4.4	1	2026-08-04
HDAC1	CHEMBL325	Histone deacetylase 1	Q13547	CHEMBL227663	6.76	1	2026-08-04
HDAC1	CHEMBL325	Histone deacetylase 1	Q13547	CHEMBL226556	5.73	1	2026-08-04
HDAC1	CHEMBL325	Histone deacetylase 1	Q13547	CHEMBL226817	6.28	1	2026-08-04
HDAC1	CHEMBL325	Histone deacetylase 1	Q13547	CHEMBL389687	7.39	1	2026-08-04
HDAC1	CHEMBL325	Histone deacetylase 1	Q13547	CHEMBL180064	5.28	1	2026-08-04
HDAC1	CHEMBL325	Histone deacetylase 1	Q13547	CHEMBL427510	4.92	1	2026-08-04
HDAC1	CHEMBL325	Histone deacetylase 1	Q13547	CHEMBL180911	5.97	1	2026-08-04
HDAC1	CHEMBL325	Histone deacetylase 1	Q13547	CHEMBL387924	8.07	1	2026-08-04
HDAC1	CHEMBL325	Histone deacetylase 1	Q13547	CHEMBL227170	7.43	1	2026-08-04
